Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,attempts,server correct,valid password,valid username
61,Start,,2013/05/07 09:35:11.081,Variant 1,1,,,,
61,Validate username,,2013/05/07 09:35:22.731,Variant 1,1,,,,true
61,Set attempts counter to 0,,2013/05/07 09:35:52.858,Variant 1,1,,,,
61,Validate password,,2013/05/07 09:37:00.750,Variant 1,1,,,true,
61,EVENT 5 END,,2013/05/07 09:39:48.223,Variant 1,1,,,,
12,Start,,2013/05/01 15:58:27.675,Variant 2,2,,,,
12,Validate username,,2013/05/01 15:58:41.583,Variant 2,2,,,,false
12,Log invalid username,,2013/05/02 08:00:37.049,Variant 2,2,,,,
12,EVENT 5 END,,2013/05/02 08:00:37.049,Variant 2,2,,,,
84,Start,,2013/05/08 14:23:43.251,Variant 1,1,,,,
84,Validate username,,2013/05/08 14:24:17.220,Variant 1,1,,,,true
84,Set attempts counter to 0,,2013/05/08 14:25:07.308,Variant 1,1,,,,
84,Validate password,,2013/05/08 14:25:26.615,Variant 1,1,,,true,
84,EVENT 5 END,,2013/05/08 14:25:26.615,Variant 1,1,,,,
73,Start,,2013/05/07 15:10:20.295,Variant 3,3,,,,
73,Validate username,,2013/05/07 15:11:22.318,Variant 3,3,,,,true
73,Set attempts counter to 0,,2013/05/07 15:11:56.382,Variant 3,3,,,,
73,Validate password,,2013/05/07 15:13:36.630,Variant 3,3,,,false,
73,Increment attempts counter,,2013/05/07 15:14:43.503,Variant 3,3,1,,,
73,Test server,,2013/05/07 15:14:46.682,Variant 3,3,,true,,
73,Validate password,,2013/05/07 15:15:14.119,Variant 3,3,,,true,
73,EVENT 5 END,,2013/05/07 15:17:05.681,Variant 3,3,,,,
92,Start,,2013/05/09 14:03:03.969,Variant 5,5,,,,
92,Validate username,,2013/05/09 14:03:06.936,Variant 5,5,,,,true
92,Set attempts counter to 0,,2013/05/09 14:03:33.115,Variant 5,5,,,,
92,Validate password,,2013/05/09 14:03:47.791,Variant 5,5,,,false,
92,Increment attempts counter,,2013/05/09 14:04:07.679,Variant 5,5,1,,,
92,Test server,,2013/05/09 14:04:07.679,Variant 5,5,,true,,
92,Validate password,,2013/05/09 14:04:59.752,Variant 5,5,,,false,
92,Increment attempts counter,,2013/05/09 14:05:38.562,Variant 5,5,2,,,
92,Test server,,2013/05/09 14:05:38.562,Variant 5,5,,true,,
92,Validate password,,2013/05/09 14:05:46.215,Variant 5,5,,,true,
92,EVENT 5 END,,2013/05/09 14:05:46.215,Variant 5,5,,,,
10,Start,,2013/05/01 15:49:38.224,Variant 1,1,,,,
10,Validate username,,2013/05/01 15:49:59.827,Variant 1,1,,,,true
10,Set attempts counter to 0,,2013/05/01 15:51:18.422,Variant 1,1,,,,
10,Validate password,,2013/05/01 15:51:29.294,Variant 1,1,,,true,
10,EVENT 5 END,,2013/05/01 15:51:29.294,Variant 1,1,,,,
2,Start,,2013/05/01 12:31:19.311,Variant 3,3,,,,
2,Validate username,,2013/05/01 12:31:24.485,Variant 3,3,,,,true
2,Set attempts counter to 0,,2013/05/01 12:32:05.434,Variant 3,3,,,,
2,Validate password,,2013/05/01 12:32:44.357,Variant 3,3,,,false,
2,Increment attempts counter,,2013/05/01 12:34:16.693,Variant 3,3,1,,,
